Welcome to the store!
-------- day 0 --------
name, sellIn, quality
Ornamental vase, 10, 20
Aged Brie, 2, 0
Set of teacups, 5, 7
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 15, 20
Backstage passes to concert, 10, 49
Backstage passes to concert, 5, 49
Fresh apples, 3, 17

-------- day 1 --------
name, sellIn, quality
Ornamental vase, 9, 19
Aged Brie, 1, 1
Set of teacups, 4, 6
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 14, 21
Backstage passes to concert, 9, 50
Backstage passes to concert, 4, 50
Fresh apples, 2, 15

-------- day 2 --------
name, sellIn, quality
Ornamental vase, 8, 18
Aged Brie, 0, 2
Set of teacups, 3, 5
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 13, 22
Backstage passes to concert, 8, 50
Backstage passes to concert, 3, 50
Fresh apples, 1, 13

-------- day 3 --------
name, sellIn, quality
Ornamental vase, 7, 17
Aged Brie, -1, 4
Set of teacups, 2, 4
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 12, 23
Backstage passes to concert, 7, 50
Backstage passes to concert, 2, 50
Fresh apples, 0, 11

-------- day 4 --------
name, sellIn, quality
Ornamental vase, 6, 16
Aged Brie, -2, 6
Set of teacups, 1, 3
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 11, 24
Backstage passes to concert, 6, 50
Backstage passes to concert, 1, 50
Fresh apples, -1, 7

-------- day 5 --------
name, sellIn, quality
Ornamental vase, 5, 15
Aged Brie, -3, 8
Set of teacups, 0, 2
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 10, 25
Backstage passes to concert, 5, 50
Backstage passes to concert, 0, 50
Fresh apples, -2, 3

-------- day 6 --------
name, sellIn, quality
Ornamental vase, 4, 14
Aged Brie, -4, 10
Set of teacups, -1, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 9, 27
Backstage passes to concert, 4, 50
Backstage passes to concert, -1, 0
Fresh apples, -3, 0

-------- day 7 --------
name, sellIn, quality
Ornamental vase, 3, 13
Aged Brie, -5, 12
Set of teacups, -2, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 8, 29
Backstage passes to concert, 3, 50
Backstage passes to concert, -2, 0
Fresh apples, -4, 0

-------- day 8 --------
name, sellIn, quality
Ornamental vase, 2, 12
Aged Brie, -6, 14
Set of teacups, -3, 0
Diamond ring, 0, 80
Diamond ring, -1, 80
Backstage passes to concert, 7, 31
Backstage passes to concert, 2, 50
Backstage passes to concert, -3, 0
Fresh apples, -5, 0

-------- day 9 --------
name, sellIn, quality
Ornamental vase, 1, 11
Aged Brie, -7, 16
